,_id,ValueID,value,timeStamp
0,5df0b6148e15b328ac10d2a1,12430012063.Main_Spindle.Actual_Speed_Rate,952.0,2019-12-11 09:24:55.080
1,5df0b6148e15b328ac10d2a3,12430012063.Main_Spindle.Actual_Position_MCS,237.04,2019-12-11 09:24:55.081
2,5df0b6148e15b328ac10d2a4,12430012063.Z1_Axis.Actual_Position_MCS,-314.8,2019-12-11 09:24:55.086
3,5df0b6148e15b328ac10d2a6,12430012063.Energy_Savings.Active_Power_Spindle1,172.573,2019-12-11 09:24:55.110
4,5df0b6158e15b328ac10d2a7,12430012063.Main_Spindle.Actual_Position_MCS,174.69,2019-12-11 09:24:55.130
5,5df0b6158e15b328ac10d2a9,12430012063.Z1_Axis.Actual_Feed_Rate,-573.0,2019-12-11 09:24:55.133
6,5df0b6158e15b328ac10d2ab,12430012063.Z1_Axis.Actual_Position_MCS,-315.29,2019-12-11 09:24:55.136
7,5df0b6158e15b328ac10d2ac,12430012063.Main_Spindle.Actual_Speed_Rate,951.0,2019-12-11 09:24:55.229
8,5df0b6158e15b328ac10d2ae,12430012063.Main_Spindle.Actual_Position_MCS,89.45,2019-12-11 09:24:55.230
9,5df0b6158e15b328ac10d2af,12430012063.Z1_Axis.Actual_Feed_Rate,-572.0,2019-12-11 09:24:55.232
10,5df0b6158e15b328ac10d2b0,12430012063.Z1_Axis.Actual_Position_MCS,-315.75,2019-12-11 09:24:55.244
11,5df0b6158e15b328ac10d2b2,12430012063.Energy_Savings.Active_Power_Z1,-26.111,2019-12-11 09:24:55.256
12,5df0b6158e15b328ac10d2b3,12430012063.Main_Spindle.Actual_Position_MCS,27.09,2019-12-11 09:24:55.259
13,5df0b6158e15b328ac10d2b7,12430012063.Z1_Axis.Actual_Position_MCS,-316.25,2019-12-11 09:24:55.274
14,5df0b6158e15b328ac10d2b8,12430012063.Main_Spindle.Actual_Position_MCS,301.84,2019-12-11 09:24:55.296
15,5df0b6158e15b328ac10d2ba,12430012063.Z1_Axis.Actual_Position_MCS,-316.71,2019-12-11 09:24:55.301
16,5df0b6158e15b328ac10d2bc,12430012063.Main_Spindle.Actual_Speed_Rate,952.0,2019-12-11 09:24:55.325
17,5df0b6158e15b328ac10d2bf,12430012063.Main_Spindle.Actual_Position_MCS,239.49,2019-12-11 09:24:55.337
18,5df0b6158e15b328ac10d2c0,12430012063.Z1_Axis.Actual_Position_MCS,-317.2,2019-12-11 09:24:55.341
19,5df0b6158e15b328ac10d2c1,12430012063.Main_Spindle.Actual_Position_MCS,154.25,2019-12-11 09:24:55.384
20,5df0b6158e15b328ac10d2c4,12430012063.Z1_Axis.Actual_Position_MCS,-317.66,2019-12-11 09:24:55.389
21,5df0b6158e15b328ac10d2c7,12430012063.Tool_Control_Center.Bending_Moment,1.0,2019-12-11 09:24:55.400
