,_id,ValueID,value,timeStamp
0,5dde3ee28e15b3086c0aff80,12430012063.Main_Spindle.Actual_Speed_Rate,317.0,2019-11-27 09:17:36.176
1,5dde3ee28e15b3086c0aff83,12430012063.Main_Spindle.Actual_Position_MCS,197.3,2019-11-27 09:17:36.177
2,5dde3ee28e15b3086c0aff84,12430012063.Energy_Savings.Active_Power_Spindle1,0.0,2019-11-27 09:17:36.372
3,5dde3ee28e15b3086c0aff89,12430012063.Z1_Axis.Actual_Feed_Rate,-63.0,2019-11-27 09:17:36.387
4,5dde3ee28e15b3086c0aff87,12430012063.Z1_Axis.Actual_Position_MCS,-309.46,2019-11-27 09:17:36.388
5,5dde3ee28e15b3086c0aff8a,12430012063.Main_Spindle.Actual_Position_MCS,218.89,2019-11-27 09:17:36.390
6,5dde3ee28e15b3086c0aff8b,12430012063.Energy_Savings.Active_Power_Spindle1,38.35,2019-11-27 09:17:36.553
7,5dde3ee28e15b3086c0aff8e,12430012063.Z1_Axis.Actual_Feed_Rate,-64.0,2019-11-27 09:17:36.573
8,5dde3ee28e15b3086c0aff91,12430012063.Z1_Axis.Actual_Power,11.0,2019-11-27 09:17:36.573
9,5dde3ee28e15b3086c0aff92,12430012063.Z1_Axis.Actual_Position_MCS,-309.67,2019-11-27 09:17:36.574
10,5dde3ee28e15b3086c0aff8f,12430012063.Main_Spindle.Actual_Power,1.0,2019-11-27 09:17:36.575
11,5dde3ee28e15b3086c0aff93,12430012063.Main_Spindle.Actual_Position_MCS,240.47,2019-11-27 09:17:36.576
12,5dde3ee38e15b3086c0aff94,12430012063.Tool_Control_Center.Axial_Force_Tension,0.3,2019-11-27 09:17:36.750
13,5dde3ee38e15b3086c0aff95,12430012063.Energy_Savings.Active_Power_Spindle1,0.0,2019-11-27 09:17:36.761
14,5dde3ee38e15b3086c0aff99,12430012063.Z1_Axis.Actual_Position_MCS,-309.88,2019-11-27 09:17:36.783
15,5dde3ee38e15b3086c0aff9b,12430012063.Main_Spindle.Actual_Power,0.0,2019-11-27 09:17:36.784
16,5dde3ee38e15b3086c0aff9a,12430012063.Main_Spindle.Actual_Position_MCS,262.09,2019-11-27 09:17:36.786
17,5dde3ee38e15b3086c0aff9c,12430012063.Energy_Savings.Active_Power_Spindle1,-19.175,2019-11-27 09:17:36.961
18,5dde3ee38e15b3086c0affa2,12430012063.Z1_Axis.Actual_Power,12.0,2019-11-27 09:17:36.969
19,5dde3ee38e15b3086c0aff9f,12430012063.Z1_Axis.Actual_Position_MCS,-310.1,2019-11-27 09:17:36.981
20,5dde3ee38e15b3086c0affa3,12430012063.Main_Spindle.Actual_Power,1.0,2019-11-27 09:17:36.982
21,5dde3ee38e15b3086c0affa0,12430012063.Main_Spindle.Actual_Position_MCS,283.71,2019-11-27 09:17:36.983
22,5dde3ee38e15b3086c0affa4,12430012063.Energy_Savings.Active_Power_Spindle1,0.0,2019-11-27 09:17:37.157
23,5dde3ee38e15b3086c0affa9,12430012063.Z1_Axis.Actual_Position_MCS,-310.31,2019-11-27 09:17:37.176
24,5dde3ee38e15b3086c0affa7,12430012063.Main_Spindle.Actual_Power,0.0,2019-11-27 09:17:37.177
25,5dde3ee38e15b3086c0affaa,12430012063.Main_Spindle.Actual_Position_MCS,305.3,2019-11-27 09:17:37.178
26,5dde3ee38e15b3086c0affab,12430012063.Y1_Axis.Actual_Power,1.0,2019-11-27 09:17:37.190
27,5dde3ee38e15b3086c0affac,12430012063.Energy_Savings.Active_Power_Spindle1,38.35,2019-11-27 09:17:37.361
28,5dde3ee38e15b3086c0affb2,12430012063.Z1_Axis.Actual_Power,11.0,2019-11-27 09:17:37.372
29,5dde3ee38e15b3086c0affb3,12430012063.Main_Spindle.Actual_Power,1.0,2019-11-27 09:17:37.384
30,5dde3ee38e15b3086c0affaf,12430012063.Z1_Axis.Actual_Position_MCS,-310.52,2019-11-27 09:17:37.384
31,5dde3ee38e15b3086c0affb1,12430012063.Main_Spindle.Actual_Position_MCS,326.89,2019-11-27 09:17:37.386
32,5dde3ee38e15b3086c0affb4,12430012063.Energy_Savings.Active_Power_Spindle1,19.175,2019-11-27 09:17:37.558
33,5dde3ee38e15b3086c0affba,12430012063.Z1_Axis.Actual_Position_MCS,-310.73,2019-11-27 09:17:37.568
34,5dde3ee38e15b3086c0affb7,12430012063.Main_Spindle.Actual_Power,0.0,2019-11-27 09:17:37.580
35,5dde3ee38e15b3086c0affbb,12430012063.Main_Spindle.Actual_Position_MCS,348.5,2019-11-27 09:17:37.581
36,5dde3ee38e15b3086c0affb8,12430012063.C1_Axis.Actual_Power,2.0,2019-11-27 09:17:37.582
37,5dde3ee48e15b3086c0affbc,12430012063.Energy_Savings.Active_Power_Spindle1,0.0,2019-11-27 09:17:37.794
38,5dde3ee48e15b3086c0affbf,12430012063.Z1_Axis.Actual_Position_MCS,-310.94,2019-11-27 09:17:37.829
39,5dde3ee48e15b3086c0affc1,12430012063.Main_Spindle.Actual_Position_MCS,10.11,2019-11-27 09:17:37.831
40,5dde3ee48e15b3086c0affc2,12430012063.Energy_Savings.Active_Power_Spindle1,19.175,2019-11-27 09:17:38.004
41,5dde3ee48e15b3086c0affc6,12430012063.Z1_Axis.Actual_Position_MCS,-311.16,2019-11-27 09:17:38.167
42,5dde3ee48e15b3086c0affc8,12430012063.Main_Spindle.Actual_Power,1.0,2019-11-27 09:17:38.170
43,5dde3ee48e15b3086c0affc7,12430012063.Main_Spindle.Actual_Position_MCS,31.7,2019-11-27 09:17:38.172
44,5dde3ee48e15b3086c0affc9,12430012063.Energy_Savings.Active_Power_Spindle1,57.524,2019-11-27 09:17:38.215
45,5dde3ee48e15b3086c0affcd,12430012063.Z1_Axis.Actual_Position_MCS,-311.37,2019-11-27 09:17:38.231
46,5dde3ee48e15b3086c0affce,12430012063.Main_Spindle.Actual_Position_MCS,53.3,2019-11-27 09:17:38.243
47,5dde3ee48e15b3086c0affcf,12430012063.C1_Axis.Actual_Power,3.0,2019-11-27 09:17:38.248
48,5dde3ee48e15b3086c0affd0,12430012063.Energy_Savings.Active_Power_Spindle1,19.175,2019-11-27 09:17:38.353
49,5dde3ee48e15b3086c0affd5,12430012063.Z1_Axis.Actual_Position_MCS,-311.58,2019-11-27 09:17:38.374
50,5dde3ee48e15b3086c0affd3,12430012063.Main_Spindle.Actual_Position_MCS,74.91,2019-11-27 09:17:38.376
51,5dde3ee48e15b3086c0affd6,12430012063.Energy_Savings.Active_Power_Spindle1,0.0,2019-11-27 09:17:38.589
52,5dde3ee48e15b3086c0affda,12430012063.Z1_Axis.Actual_Position_MCS,-311.79,2019-11-27 09:17:38.597
53,5dde3ee48e15b3086c0affdc,12430012063.Main_Spindle.Actual_Power,0.0,2019-11-27 09:17:38.598
54,5dde3ee48e15b3086c0affdb,12430012063.Main_Spindle.Actual_Position_MCS,96.53,2019-11-27 09:17:38.599
55,5dde3ee48e15b3086c0affdd,12430012063.Tool_Control_Center.Bending_Moment,3.0,2019-11-27 09:17:38.671
56,5dde3ee58e15b3086c0affde,12430012063.Energy_Savings.Active_Power_Spindle1,19.175,2019-11-27 09:17:38.752
57,5dde3ee58e15b3086c0affe3,12430012063.Z1_Axis.Actual_Position_MCS,-312.0,2019-11-27 09:17:38.802
58,5dde3ee58e15b3086c0affe1,12430012063.Main_Spindle.Actual_Position_MCS,118.12,2019-11-27 09:17:38.803
