,_id,ValueID,value,timeStamp
0,5df75d078e15b328ac24849c,12430012063.Main_Spindle.Actual_Power,0.0,2019-12-16 10:30:32.171
1,5df75d078e15b328ac24849d,12430012063.Main_Spindle.Actual_Position_MCS,269.9,2019-12-16 10:30:32.172
2,5df75d078e15b328ac24849b,12430012063.Main_Spindle.Actual_Speed_Rate,951.0,2019-12-16 10:30:32.172
3,5df75d078e15b328ac24849e,12430012063.Tool_Control_Center.Bending_Moment,3.0,2019-12-16 10:30:32.176
4,5df75d078e15b328ac24849f,12430012063.Energy_Savings.Active_Power_Spindle1,-38.35,2019-12-16 10:30:32.187
5,5df75d078e15b328ac2484a1,12430012063.Tool_Control_Center.Axial_Force_Compression,0.1,2019-12-16 10:30:32.358
6,5df75d078e15b328ac2484a3,12430012063.Z1_Axis.Actual_Position_MCS,-331.95,2019-12-16 10:30:32.360
7,5df75d078e15b328ac2484a5,12430012063.Main_Spindle.Actual_Speed_Rate,952.0,2019-12-16 10:30:32.366
8,5df75d078e15b328ac2484a6,12430012063.Main_Spindle.Actual_Position_MCS,334.7,2019-12-16 10:30:32.377
9,5df75d078e15b328ac2484a8,12430012063.Main_Spindle.MPC_Peak,1.0,2019-12-16 10:30:32.381
10,5df75d078e15b328ac2484a7,12430012063.Tool_Control_Center.Symmetry,0.19,2019-12-16 10:30:32.381
11,5df75d078e15b328ac2484a9,12430012063.Energy_Savings.Active_Power_Spindle1,57.524,2019-12-16 10:30:32.472
12,5df75d078e15b328ac2484ab,12430012063.Main_Spindle.MPC_Veff_Total,0.0,2019-12-16 10:30:32.475
13,5df75d078e15b328ac2484ad,12430012063.Z1_Axis.Actual_Position_MCS,-332.59,2019-12-16 10:30:32.506
14,5df75d078e15b328ac2484af,12430012063.Main_Spindle.Actual_Position_MCS,39.49,2019-12-16 10:30:32.521
15,5df75d078e15b328ac2484b1,12430012063.Tool_Control_Center.Axial_Force_Compression,0.0,2019-12-16 10:30:32.679
16,5df75d078e15b328ac2484b2,12430012063.Z1_Axis.Actual_Position_MCS,-333.22,2019-12-16 10:30:32.700
17,5df75d078e15b328ac2484b5,12430012063.Main_Spindle.Actual_Power,1.0,2019-12-16 10:30:32.703
18,5df75d078e15b328ac2484b6,12430012063.Main_Spindle.Actual_Speed_Rate,951.0,2019-12-16 10:30:32.704
