,_id,ValueID,value,timeStamp
0,5df746f68e15b328ac2037e0,12430012063.Main_Spindle.Actual_Power,1.0,2019-12-16 08:56:24.016
1,5df746f68e15b328ac2037df,12430012063.Main_Spindle.Actual_Speed_Rate,952.0,2019-12-16 08:56:24.017
2,5df746f68e15b328ac2037e1,12430012063.Main_Spindle.Actual_Position_MCS,10.32,2019-12-16 08:56:24.018
3,5df746f68e15b328ac2037e2,12430012063.Z1_Axis.Actual_Feed_Rate,-382.0,2019-12-16 08:56:24.050
4,5df746f68e15b328ac2037e3,12430012063.Tool_Control_Center.Bending_Moment,3.0,2019-12-16 08:56:24.152
5,5df746f78e15b328ac2037e5,12430012063.Z1_Axis.Actual_Position_MCS,-325.38,2019-12-16 08:56:24.195
6,5df746f78e15b328ac2037e9,12430012063.Main_Spindle.Actual_Position_MCS,75.12,2019-12-16 08:56:24.212
7,5df746f78e15b328ac2037e8,12430012063.Main_Spindle.Actual_Speed_Rate,951.0,2019-12-16 08:56:24.212
8,5df746f78e15b328ac2037ea,12430012063.Tool_Control_Center.Symmetry,0.12,2019-12-16 08:56:24.296
9,5df746f78e15b328ac2037eb,12430012063.Energy_Savings.Active_Power_Spindle1,191.748,2019-12-16 08:56:24.387
10,5df746f78e15b328ac2037ee,12430012063.Z1_Axis.Actual_Position_MCS,-326.65,2019-12-16 08:56:24.399
11,5df746f78e15b328ac2037f0,12430012063.Main_Spindle.Actual_Position_MCS,139.93,2019-12-16 08:56:24.414
12,5df746f78e15b328ac2037f1,12430012063.Energy_Savings.Active_Power_Spindle1,115.049,2019-12-16 08:56:24.581
13,5df746f78e15b328ac2037f3,12430012063.Z1_Axis.Actual_Position_MCS,-327.93,2019-12-16 08:56:24.603
14,5df746f78e15b328ac2037f5,12430012063.Main_Spindle.Actual_Power,0.0,2019-12-16 08:56:24.608
15,5df746f78e15b328ac2037f8,12430012063.Main_Spindle.Actual_Speed_Rate,952.0,2019-12-16 08:56:24.609
16,5df746f78e15b328ac2037f6,12430012063.Main_Spindle.Actual_Position_MCS,204.75,2019-12-16 08:56:24.610
17,5df746f78e15b328ac2037f9,12430012063.Tool_Control_Center.Symmetry,0.07,2019-12-16 08:56:24.682
18,5df746f78e15b328ac2037fa,12430012063.Energy_Savings.Active_Power_Spindle1,19.175,2019-12-16 08:56:24.803
19,5df746f78e15b328ac2037fc,12430012063.Z1_Axis.Actual_Position_MCS,-329.2,2019-12-16 08:56:24.815
20,5df746f78e15b328ac2037fe,12430012063.Main_Spindle.Actual_Power,1.0,2019-12-16 08:56:24.819
21,5df746f78e15b328ac203800,12430012063.Main_Spindle.Actual_Position_MCS,269.55,2019-12-16 08:56:24.820
